variant,baseline,schema_R1,param_coverage,type_match,exact5_on_hits,exact20_on_hits,param_coverage_hits,param_coverage_miss,type_match_hits,type_match_miss,key_overlap,key_overlap_hits,key_overlap_miss,instantiation_ready,n
noisy,bm25,0.8912386706948641,0.761996353763726,0.14086713051969846,0.1795518207282913,0.18165266106442574,0.8256072082343276,0.24074074074074073,0.1360237972949837,0.18055555555555555,0.9005898431880305,0.9946731234866829,0.12962962962962965,0.04229607250755287,331
noisy,lsa,0.8882175226586103,0.760087646492481,0.14153849674997707,0.1795518207282913,0.18165266106442574,0.8145034387381335,0.3277027027027027,0.14064368171511024,0.14864864864864866,0.9049617887986467,0.9946550048590865,0.19226434226434228,0.04229607250755287,331
noisy,oracle,1.0,0.8196153731741083,0.15239784552473368,0.17785888077858877,0.17968369829683695,0.8196153731741083,,0.15239784552473368,,0.9952524816573155,0.9952524816573155,,0.04229607250755287,331
noisy,random,0.006042296072507553,0.01107754279959718,0.004531722054380665,0.0,0.0,0.8333333333333333,0.0060790273556231,0.25,0.00303951367781155,0.008157099697885197,1.0,0.002127659574468085,0.0030211480362537764,331
noisy,tfidf,0.9033232628398792,0.7693285231049588,0.1414425872885087,0.17805555555555552,0.18013888888888888,0.8155721554550993,0.3372395833333333,0.1381856066638675,0.171875,0.9200507448241587,0.9947443860487339,0.22213203463203465,0.03927492447129909,331
noisy,tfidf_acceptance_rerank,0.8640483383685801,0.731200915566475,0.1399931555520679,0.2005847953216374,0.2005847953216374,0.8112849757080534,0.2222222222222222,0.1462857849221485,0.1,0.8773198100992664,0.9945054945054945,0.13253968253968254,0.04229607250755287,331
noisy,tfidf_ambiguity_aware_abstain,0.9033232628398792,0.2370386578845793,0.0,,,0.2585054484720037,0.03645833333333333,0.0,0.0,0.9200507448241587,0.9947443860487339,0.22213203463203463,0.0,331
noisy,tfidf_ambiguity_aware_beam,0.9033232628398792,0.6801428262908625,0.0,,,0.7264568857378222,0.24739583333333334,0.0,0.0,0.9200507448241587,0.9947443860487339,0.22213203463203463,0.0,331
noisy,tfidf_ambiguity_aware_full,0.9033232628398792,0.6926518178028752,0.0,,,0.7403046321942643,0.24739583333333334,0.0,0.0,0.9200507448241587,0.9947443860487339,0.22213203463203463,0.0,331
noisy,tfidf_ambiguity_candidate_greedy,0.9033232628398792,0.6801428262908625,0.0,,,0.7264568857378222,0.24739583333333334,0.0,0.0,0.9200507448241587,0.9947443860487339,0.22213203463203463,0.0,331
noisy,tfidf_constrained,0.9033232628398792,0.41404847250768695,0.2334700043159258,0.24856321839080459,0.2593390804597701,0.4256133034561128,0.3059895833333333,0.2367176301958911,0.203125,0.9200507448241587,0.9947443860487339,0.22213203463203465,0.03625377643504532,331
noisy,tfidf_global_compat_full,0.9033232628398792,0.6966687139647865,0.0,,,0.7454203266076176,0.24114583333333334,0.0,0.0,0.9200507448241587,0.9947443860487339,0.22213203463203463,0.0,331
noisy,tfidf_global_compat_local,0.9033232628398792,0.7102866586250273,0.0,,,0.7598268138401917,0.24739583333333334,0.0,0.0,0.9200507448241587,0.9947443860487339,0.22213203463203463,0.0,331
noisy,tfidf_global_compat_pairwise,0.9033232628398792,0.6970283744452929,0.0,,,0.7458184791796832,0.24114583333333334,0.0,0.0,0.9200507448241587,0.9947443860487339,0.22213203463203463,0.0,331
noisy,tfidf_hierarchical_acceptance_rerank,0.8187311178247734,0.6956065166790248,0.13799703988525736,0.21183800623052956,0.21183800623052956,0.8090249336559308,0.18333333333333332,0.15194472399269443,0.075,0.8347000431592578,0.9942013705851345,0.1142857142857143,0.04229607250755287,331
noisy,tfidf_optimization_role_repair,0.9033232628398792,0.7102866586250277,0.0,,,0.7598268138401923,0.24739583333333334,0.0,0.0,0.9200507448241587,0.9947443860487339,0.22213203463203465,0.0,331
